"Numbers per City of Museums, Archives, Libraries with a ticket entry cost",,,
City,Museums_Number,Archives_Number,Libraries_Number
Abano_Terme,1,0,0
Abbadia_Lariana,1,0,0
Aci_Castello,1,0,0
Acquapendente,2,0,0
Acqui_Terme,1,0,0
Adria,1,0,0
Agrigento,4,0,0
Agropoli,1,0,0
Aidone,1,0,0
Ala,1,0,0
Albenga,3,0,0
Albese_con_Cassano,1,0,0
Albiano,1,0,0
Alcamo,1,0,0
Ales,1,0,0
Alessandria,5,0,0
Alghero,2,0,0
Alife,1,0,0
Allumiere,1,0,0
Altamura,1,0,0
Altare,1,0,0
Amalfi,2,0,0
Amandola,1,0,0
Anagni,1,0,0
Ancona,3,0,0
Angera,1,0,0
Anghiari,2,0,0
Anticoli_Corrado,1,0,0
Aosta,1,0,0
Aquileia,1,0,0
Arborea,1,0,0
Arcevia,1,0,0
Arcinazzo_Romano,1,0,0
Ardesio,1,0,0
Arenzano,1,0,0
Arese,1,0,0
Arezzo,4,0,0
Argenta,2,0,0
Ariccia,1,0,0
Aritzo,2,0,0
Armungia,2,0,0
Arpino,3,0,0
Ascoli_Piceno,7,0,0
Asola,2,0,0
Assisi,3,0,0
Atri,3,0,0
Atzara,1,0,0
Auditore,1,0,0
Aulla,1,0,0
Bacoli,1,0,0
Badia_Abtei,1,0,0
Bagnara_di_Romagna,1,0,0
Bagnoregio,1,0,0
Banari,1,0,0
Baragiano,1,0,0
Barcellona_Pozzo_di_Gotto,1,0,0
Bard,2,0,0
Bardolino,1,0,0
Bardonecchia,1,0,0
Bari,2,0,0
Barletta,2,0,0
Barolo,2,0,0
Barumini,1,0,0
Bassano_del_Grappa,2,0,0
Bassiano,1,0,0
Bazzano,1,0,0
Bellagio,1,0,0
Belvi,1,0,0
Bentivoglio,1,0,0
Berceto,1,0,0
Berchidda,1,0,0
Bergamo,8,0,0
Bernalda,1,0,0
Bertinoro,1,0,0
Besano,1,0,0
Besenello,1,0,0
Biandronno,1,0,0
Bidoni,1,0,0
Biella,1,0,0
Bienno,2,0,0
Bitonto,1,0,0
Bitti,1,0,0
Bobbio,3,0,0
Bologna,13,0,0
Bolsena,1,0,0
Bolzano_Bozen,6,0,0
Bomba,1,0,0
Bordighera,3,0,0
Borgia,1,0,0
Borgo_Velino,1,0,0
Bormio,1,0,0
Bosa,2,0,0
Boscoreale,1,0,0
Bosio,1,0,0
Bra,1,0,0
Bracciano,1,0,0
Breganze,1,0,0
Brentonico,1,0,0
Brescia,8,0,0
Bressanone_Brixen,3,0,0
Bronte,1,0,0
Brugnato,1,0,0
Brunico_Bruneck,1,0,0
Buccino,1,0,0
Budduso,1,0,0
Budrio,1,0,0
Buggerru,1,0,0
Buonconvento,1,0,0
Busachi,1,0,0
Busca,1,0,0
Busseto,2,0,0
Cabras,1,0,0
Cagliari,11,0,0
Calasetta,1,0,0
Calice_al_Cornoviglio,3,0,0
Calolziocorte,1,0,0
Caltanissetta,1,0,0
Camerino,2,0,0
Campli,1,0,0
Campo_Ligure,1,0,0
Campo_Tures_Sand_in_Taufers,1,0,0
Campobasso,2,0,0
Campodolcino,1,0,0
Campogalliano,1,0,0
Canino,1,0,0
Canneto_sull_Oglio,1,0,0
Canosa_di_Puglia,1,0,0
Canossa,1,0,0
Cantiano,2,0,0
Caorle,1,0,0
Capaccio_Paestum,1,0,0
Capodimonte,1,0,0
Capoliveri,1,0,0
Capri,1,0,0
Capriolo,1,0,0
Carbognano,1,0,0
Carbonia,2,0,0
Carloforte,1,0,0
Carmignano,1,0,0
Carpi,1,0,0
Carpineto_Romano,2,0,0
Casale_Monferrato,2,0,0
Casalmaggiore,2,0,0
Casalzuigno,1,0,0
Caselle_in_Pittari,1,0,0
Caserta,1,0,0
Casole_d_Elsa,3,0,0
Cassano_all_Ionio,1,0,0
Cassino,2,0,0
Casteggio,1,0,0
Castel_di_Sangro,2,0,0
Castelbello-Ciardes_Kastelbell-Tschars,1,0,0
Casteldelfino,1,0,0
Castelfidardo,1,0,0
Castelfiorentino,1,0,0
Castelfranco_Veneto,1,0,0
Castell_Arquato,4,0,0
Castellania,1,0,0
Castelleone_di_Suasa,1,0,0
Castelli,1,0,0
Castelnuovo_Rangone,1,0,0
Castelnuovo_di_Farfa,1,0,0
Castelplanio,1,0,0
Castenaso,1,0,0
Castiadas,1,0,0
Castiglione_Olona,3,0,0
Castiglione_del_Lago,1,0,0
Castiglione_della_Pescaia,2,0,0
Castiglione_delle_Stiviere,1,0,0
Castrocaro_Terme_e_Terra_del_Sole,1,0,0
Castroreale,1,0,0
Catania,4,0,0
Catanzaro,3,0,0
Cattolica_Eraclea,1,0,0
Cave,1,0,0
Cavriana,1,0,0
Cedegolo,1,0,0
Cefalu,1,0,0
Celano,1,0,0
Cellere,1,0,0
Cerchio,1,0,0
Ceriale,1,0,0
Cermes_Tscherms,1,0,0
Cerveno,1,0,0
Cerveteri,1,0,0
Cervo,2,0,0
Cesenatico,2,0,0
Ceto,1,0,0
Chiaramonte_Gulfi,2,0,0
Chiavari,1,0,0
Chiavenna,1,0,0
Chieri,1,0,0
Chieti,1,0,0
Chiusa_Klausen,2,0,0
Chiusi,1,0,0
Cingoli,1,0,0
Citta_della_Pieve,1,0,0
Cividale_del_Friuli,3,0,0
Civitavecchia,1,0,0
Civitella_Alfedena,1,0,0
Civitella_del_Tronto,1,0,0
Clauzetto,1,0,0
Coccaglio,1,0,0
Cocquio-Trevisago,1,0,0
Codigoro,1,0,0
Cogne,1,0,0
